age,gender,height_cm,weight_kg,body fat_%,diastolic,systolic,gripForce,sit and bend forward_cm,sit-ups counts,broad jump_cm,class
23.0,M,172.3,58.0,16.9,74.0,145.0,29.9,18.1,63.0,218.0,A
49.0,F,158.1,49.2,22.3,81.0,131.0,22.8,20.8,33.0,175.0,A
21.0,F,160.4,53.8,24.3,61.0,106.0,27.9,20.1,45.0,174.0,A
62.0,F,155.5,52.8,26.97343,73.0,114.0,25.0,22.4,30.0,148.0,B
27.0,F,170.0,63.8,29.3,62.0,103.0,24.9,16.9,38.0,160.0,C
22.0,F,165.6,52.58,29.2,80.0,111.0,25.1,20.9,42.0,178.0,A
45.0,F,162.0,58.1,30.4,77.0,139.0,26.7,28.4,26.0,157.0,B
22.0,F,164.1,50.9,21.4,84.0,135.0,23.5,14.1,48.0,187.0,C
58.0,M,163.1,58.2,12.4,99.0,160.0,42.4,24.1,57.0,227.0,A
23.0,F,166.2,52.6,19.5,63.0,106.0,29.0,21.6,39.0,151.0,B
23.0,M,169.9,61.6,19.9,77.0,135.0,39.8,19.7,44.0,190.0,C
22.0,F,169.3,48.4,18.9,65.0,125.0,31.2,34.5,25.0,145.0,C
26.0,F,167.5,55.66,29.7,83.0,123.0,27.7,16.8,36.0,157.0,C
60.0,M,153.9,54.8,21.7,75.0,136.0,32.0,16.2,19.0,148.0,C
28.0,F,158.8,52.2,28.4,66.0,99.0,21.1,24.9,27.0,141.0,B
21.0,M,172.6,50.2,13.0,64.0,115.0,38.1,6.0,35.0,200.0,D
63.0,M,171.2,76.8,24.7,89.0,138.0,35.1,8.7,30.0,168.0,D
35.0,M,171.0,71.6,24.6,81.0,129.0,41.0,4.8,46.0,213.0,C
25.0,F,160.9,61.1,33.5,77.0,123.0,24.1,19.1,22.0,132.0,C
23.0,F,162.5,56.2,27.3,71.0,126.0,29.3,21.7,47.0,169.0,A
38.0,M,178.2,90.7,21.6,86.0,139.0,56.4,3.6,50.0,211.0,D
29.0,F,162.1,55.4,30.2,72.0,116.0,25.4,21.5,23.0,160.0,C
28.0,M,171.7,74.4,17.3,74.0,131.0,49.1,7.9,53.0,250.0,C
26.0,M,172.9,72.7,15.0,65.0,130.0,48.9,13.3,57.0,217.0,B
34.0,M,169.4,77.1,22.8,90.0,150.0,51.5,25.9,47.0,217.0,B
26.0,M,173.6,70.8,18.9,72.0,113.0,44.5,11.8,63.0,205.0,B
54.0,M,171.9,91.7,36.6,80.0,120.0,46.1,8.6,30.0,158.0,D
22.0,F,149.9,47.2,32.5,69.0,108.0,20.5,9.9,21.0,124.0,D
36.0,M,178.2,76.7,15.2,93.0,149.0,53.5,16.5,63.0,150.0,A
21.0,M,169.7,69.7,22.1,76.0,134.0,32.4,19.4,57.0,231.0,D
56.0,F,158.3,56.2,35.3,84.0,131.0,23.1,20.4,8.0,150.0,D
29.0,M,170.0,85.3,22.8,72.0,120.0,43.6,18.0,45.0,211.0,C
37.0,M,172.6,75.12,16.8,85.0,141.0,50.3,18.0,49.0,226.0,A
50.0,M,172.5,74.2,27.2,88.0,143.0,41.3,8.0,31.0,179.0,C
37.0,M,175.3,65.0,8.1,72.0,142.0,43.2,26.0,58.0,227.0,A
22.0,M,175.3,73.1,13.4,73.0,134.0,48.5,15.2,59.0,201.0,C
63.0,F,154.3,45.6,17.9,70.0,120.0,19.3,13.6,7.0,129.0,C
31.0,F,162.7,67.2,30.9,72.0,116.0,32.8,21.8,35.0,161.0,A
37.0,M,164.4,67.2,18.7,61.0,113.0,39.5,16.6,44.0,210.0,B
26.0,M,169.3,67.9,18.8,81.0,144.0,44.8,17.0,41.0,234.0,C
38.0,M,169.3,64.5,24.8,88.0,125.0,31.5,9.8,18.0,190.0,D
33.0,M,181.6,73.4,14.6,68.0,119.0,45.1,18.9,55.0,230.0,A
42.0,M,170.3,73.4,14.3,85.0,130.0,51.2,18.2,53.0,217.0,A
61.0,M,166.6,62.7,18.4,81.0,150.0,41.3,9.7,28.0,141.0,B
21.0,M,170.4,107.9,42.1,85.0,136.0,49.5,5.9,37.0,200.0,D
30.0,M,180.3,78.8,16.5,85.0,141.0,45.1,10.0,48.0,240.0,B
58.0,M,177.4,73.2,15.8,72.0,144.0,20.5,17.9,36.0,194.0,A
60.0,F,158.9,56.3,24.2,84.0,151.0,17.6,11.4,3.0,135.0,D
25.0,F,161.2,70.6,38.5,68.0,118.0,29.1,8.7,24.0,165.0,D
39.0,F,158.0,54.5,29.0,75.0,116.0,23.6,1.4,4.0,122.0,D
27.0,M,175.2,66.62,22.1,76.0,131.0,30.3,12.9,49.0,188.0,D
42.0,M,172.9,68.0,21.6,84.0,127.0,39.9,10.4,33.0,200.0,C
48.0,F,156.4,48.3,16.3,88.0,129.0,32.4,26.6,68.0,190.0,B
21.0,M,170.0,62.0,17.1,80.0,120.0,38.4,18.5,50.0,230.0,C
27.0,F,161.6,47.1,25.1,98.0,138.0,25.5,20.0,34.0,159.0,C
22.0,M,166.5,52.2,11.5,75.0,147.0,30.7,10.0,49.0,221.0,C
23.0,M,172.0,72.4,21.4,75.0,133.0,46.3,22.8,42.0,212.0,D
23.0,F,160.8,59.0,30.5,59.0,108.0,19.6,13.7,40.0,194.0,C
30.0,F,158.3,51.5,24.8,59.0,113.0,26.7,26.0,53.0,156.0,A
31.0,M,179.6,78.0,20.1,92.0,152.0,44.8,12.0,49.0,181.0,C
57.0,M,170.9,63.68,13.5,83.0,140.0,39.6,18.4,41.0,198.0,A
55.0,M,169.6,71.8,18.5,80.0,124.0,42.8,16.0,26.0,210.0,C
31.0,M,179.1,82.9,16.7,59.0,116.0,50.8,21.6,47.0,185.0,A
38.0,F,149.1,60.96,40.4,66.0,106.0,22.5,8.7,7.0,139.0,D
38.0,M,169.0,72.9,22.9,94.0,140.0,41.4,8.8,50.0,226.0,C
25.0,F,148.0,46.2,23.2,83.0,121.0,21.7,16.2,33.0,168.0,B
64.0,F,163.0,65.0,30.67352,76.0,121.0,34.9,17.5,13.0,155.0,B
55.0,M,170.9,70.8,26.1,88.0,142.0,41.0,12.0,32.0,180.0,B
23.0,M,174.4,82.4,23.9,93.0,133.0,48.6,13.7,48.0,225.0,C
44.0,M,172.0,75.4,19.2,86.0,141.0,47.4,17.2,63.0,188.0,A
54.0,M,160.6,71.3,33.1,87.0,131.0,41.9,9.5,33.0,183.0,B
64.0,M,170.8,71.2,19.8,96.0,143.0,36.4,10.4,50.0,194.0,B
25.0,M,172.3,92.0,35.8,79.0,144.0,37.5,17.1,38.0,182.0,D
51.0,F,154.2,61.6,32.3,71.0,127.0,25.1,14.1,8.0,130.0,D
38.0,F,164.4,56.2,21.5,83.0,125.0,28.9,17.1,29.0,169.0,B
33.0,M,174.8,83.4,24.3,92.0,136.0,45.4,6.3,58.0,215.0,C
46.0,M,170.0,71.0,21.0,76.0,120.0,54.2,11.7,37.0,212.0,B
28.0,M,168.3,64.9,18.0,60.0,106.0,43.9,11.7,25.0,224.0,D
35.0,F,154.1,50.4,32.0,81.0,135.0,26.7,21.1,25.0,141.0,B
24.0,F,174.5,62.8,26.3,84.0,130.0,27.6,24.7,35.0,176.0,C
21.0,M,179.6,89.4,13.5,85.0,158.0,57.9,29.4,59.0,270.0,A
26.0,M,169.7,67.1,15.4,98.0,149.0,51.2,26.9,57.0,241.0,A
29.0,M,169.0,94.9,27.4,75.0,157.0,54.4,13.7,58.0,230.0,B
25.0,F,168.8,60.2,22.6,65.0,117.0,27.5,21.9,35.0,162.0,B
30.0,M,172.0,73.0,24.1,68.0,114.0,41.6,17.5,50.0,200.0,B
52.0,M,153.5,48.9,24.8,88.0,153.0,24.7,-7.1,31.0,140.0,D
